sampleID	stn	lat	lon	obstime	Salin	Temp	chla	Ptot	Ntot	PO4	pH	NH4	NO3	dist	stnDepth
2627	36	60.147	25.137	1968-06-06	5.4	11.35	NA	NA	NA	NA	8.5	1.429	0.714	2665	33
3352	114	60.082	25.125	1968-06-06	5.5	9.7	NA	NA	NA	NA	8.6	1.429	0.714	8515	47
5931	18	60.149	25.001	1968-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	1463	17
15913	4	60.193	24.991	1968-06-06	0.99	19.1	NA	8.387	NA	1.032	8.5	7.857	0.714	329	2.5
15914	4	60.193	24.991	1968-06-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	329	2.5
15915	4	60.193	24.991	1968-06-06	3.37	12.3	NA	4.516	NA	0.387	7.9	32.857	6.071	329	2.5
17801	92	60.175	24.878	1968-06-10	4.92	16.5	NA	6.774	NA	4.839	8.8	7.857	0.929	1305	14.3
4163	107	60.113	24.768	1968-06-12	5.575	10.775	NA	0.766	NA	0.306	8.175	3.929	0.732	1666	18
5440	122	60.058	24.706	1968-06-12	5.7275	8.45	NA	0.484	NA	0.218	8.125	28.929	0.714	5425	41
3868	68	60.136	24.86	1968-06-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3869	68	60.136	24.86	1968-06-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3871	68	60.136	24.86	1968-06-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
3872	68	60.136	24.86	1968-06-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198	17
4522	125	60.098	24.892	1968-06-17	5.635	11.4	NA	0.613	NA	NA	8.3	11.786	1.107	5727	28
4523	125	60.098	24.892	1968-06-17	5.63	12.1	NA	0.645	NA	NA	8.3	10.714	1.143	5727	28
4524	125	60.098	24.892	1968-06-17	5.64	10.7	NA	0.581	NA	NA	8.3	12.857	1.071	5727	28
4525	125	60.098	24.892	1968-06-17	5.64	10.7	NA	0.581	NA	NA	8.3	12.857	1.071	5727	28
16962	75	60.158	24.831	1968-06-18	5.59	15	NA	1.613	NA	0.484	8.4	14.286	0.071	649	8
17318	87	60.193	24.848	1968-06-18	4.63	19.4	NA	20.645	NA	15.484	9.7	17.857	0.714	423	3.5
17319	87	60.193	24.848	1968-06-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	423	3.5
17320	87	60.193	24.848	1968-06-18	4.76	18.4	NA	18.387	NA	15.161	9.2	13.571	0.857	423	3.5
2628	36	60.147	25.137	1968-06-19	5.555	12.7	NA	0.581	NA	0.42	8.25	12.858	0.714	2665	33
3353	114	60.082	25.125	1968-06-19	5.61	14.2	NA	0.387	NA	0.387	8.3	15.714	0.071	8515	47
5932	18	60.149	25.001	1968-06-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	1463	17
