"pel"	"year"	"mon"	"var"	"value"	"time"
"280"	0	2004	7	"ptot"	79.2333333333333	2004.54635701275
"281"	0	2004	8	"ntot"	1104.84848484848	2004.61574764034
"282"	0	2004	8	"ptot"	95.7878787878788	2004.61574764034
"283"	0	2004	9	"ntot"	790	2004.69520340012
"284"	0	2004	9	"ptot"	62.6666666666667	2004.69520340012
"285"	0	2005	6	"ntot"	943.636363636364	2005.44408468244
"286"	0	2005	6	"ptot"	53.4545454545455	2005.44408468244
"287"	0	2005	7	"ntot"	652.592592592593	2005.51922881786
"288"	0	2005	7	"ptot"	49.5357142857143	2005.52093933464
"289"	0	2005	8	"ntot"	802.307692307692	2005.62360379347
"290"	0	2005	8	"ptot"	73.6923076923077	2005.62360379347
"291"	0	2005	9	"ntot"	658.888888888889	2005.70715372907
"292"	0	2005	9	"ptot"	57.6666666666667	2005.70715372907
"293"	0	2006	6	"ntot"	564.285714285714	2006.44383561644
"294"	0	2006	6	"ptot"	40.1428571428571	2006.44383561644
"295"	0	2006	7	"ntot"	607.142857142857	2006.54233529028
"296"	0	2006	7	"ptot"	53.1428571428571	2006.54233529028
"297"	0	2006	8	"ntot"	695.882352941176	2006.62562449637
"298"	0	2006	8	"ptot"	77.8235294117647	2006.62562449637
"299"	0	2006	9	"ntot"	581.428571428571	2006.72720156556
"300"	0	2006	9	"ptot"	57.7142857142857	2006.72720156556
"301"	0	2007	6	"ntot"	622.352941176471	2007.46140209508
"302"	0	2007	6	"ptot"	48	2007.46140209508
"303"	0	2007	7	"ntot"	560	2007.53808219178
"304"	0	2007	7	"ptot"	51.0666666666667	2007.53808219178
"305"	0	2007	8	"ntot"	570	2007.63163138232
"306"	0	2007	8	"ptot"	58.4545454545455	2007.63163138232
"307"	0	2007	9	"ntot"	544.285714285714	2007.72778864971
"308"	0	2007	9	"ptot"	50.6428571428571	2007.72778864971
"309"	0	2008	6	"ntot"	677.636363636364	2008.46472925981
"310"	0	2008	6	"ptot"	65.9077272727273	2008.46472925981
"311"	0	2008	7	"ntot"	608.142857142857	2008.52107728337
"312"	0	2008	7	"ptot"	50.5872857142857	2008.52107728337
"313"	0	2008	8	"ntot"	644.222222222222	2008.59744990893
"314"	0	2008	8	"ptot"	59.6888888888889	2008.59744990893
"315"	0	2008	9	"ntot"	577.428571428571	2008.72950819672
"316"	0	2008	9	"ptot"	57.1428571428571	2008.72950819672
"317"	0	2009	6	"ntot"	629	2009.47866927593
"318"	0	2009	6	"ptot"	41.1414285714286	2009.47866927593
"319"	0	2009	7	"ntot"	666.75	2009.52273972603
"320"	0	2009	7	"ptot"	64.915	2009.52273972603
"321"	0	2009	8	"ntot"	551.714285714286	2009.60469667319
"322"	0	2009	8	"ptot"	41.6142857142857	2009.60469667319
"323"	0	2009	9	"ntot"	537.428571428571	2009.70136986301
"324"	0	2009	9	"ptot"	40.01	2009.70136986301
"325"	0	2010	6	"ntot"	680.714285714286	2010.44540117417
"326"	0	2010	6	"ptot"	42.5164285714286	2010.44540117417
"327"	0	2010	7	"ntot"	598.571428571429	2010.52498369211
"328"	0	2010	7	"ptot"	53.777380952381	2010.52498369211
"329"	0	2010	8	"ntot"	855.714285714286	2010.61037181996
"330"	0	2010	8	"ptot"	94.0482142857143	2010.61037181996
"331"	0	2010	9	"ntot"	657.666666666667	2010.69741248097
"332"	0	2010	9	"ptot"	58.8766666666667	2010.69741248097
"333"	0	2011	6	"ntot"	433.5	2011.45376712329
"334"	0	2011	6	"ptot"	45.07	2011.45376712329
"335"	0	2011	7	"ntot"	637.833333333333	2011.53515981735
"336"	0	2011	7	"ptot"	62.7841666666667	2011.53515981735
"337"	0	2011	8	"ntot"	649.428571428571	2011.64540117417
"338"	0	2011	8	"ptot"	68.5014285714286	2011.64540117417
"339"	0	2011	9	"ntot"	699.571428571429	2011.70802348337
"340"	0	2011	9	"ptot"	55.2107142857143	2011.70802348337
"341"	0	2012	6	"ntot"	852.857142857143	2012.44457455113
"342"	0	2012	6	"ptot"	48.3985714285714	2012.44457455113
"343"	0	2012	7	"ntot"	853.857142857143	2012.50078064012
"344"	0	2012	7	"ptot"	52.9714285714286	2012.50078064012
"345"	0	2012	8	"ntot"	613.28	2012.62918032787
"346"	0	2012	8	"ptot"	53.2246	2012.62918032787
"347"	0	2012	9	"ntot"	793.857142857143	2012.67798594848
"348"	0	2012	9	"ptot"	71.3421428571429	2012.67798594848
"349"	0	2013	6	"ntot"	532.857142857143	2013.46594911937
"350"	0	2013	6	"ptot"	50.4625	2013.46594911937
"351"	0	2013	7	"ntot"	721.5	2013.52328767123
"352"	0	2013	7	"ptot"	65.84	2013.52328767123
"353"	0	2013	8	"ntot"	543.192307692308	2013.63498419389
"354"	0	2013	8	"ptot"	44.6807692307692	2013.63498419389
"355"	0	2013	9	"ntot"	553.714285714286	2013.67436399217
"356"	0	2013	9	"ptot"	45.1464285714286	2013.67436399217
"357"	0	2014	6	"ntot"	647.272727272727	2014.43486924035
"358"	0	2014	6	"ptot"	56.7272727272727	2014.43486924035
"359"	0	2014	7	"ntot"	464.285714285714	2014.49863013699
"360"	0	2014	7	"ptot"	49.7142857142857	2014.49863013699
"361"	0	2014	8	"ntot"	643.939393939394	2014.61527604815
"362"	0	2014	8	"ptot"	76.3636363636364	2014.61527604815
"363"	0	2014	9	"ntot"	582.222222222222	2014.70228310502
"364"	0	2014	9	"ptot"	47.6666666666667	2014.70228310502
"365"	0	2015	6	"ntot"	514.444444444444	2015.44566210046
